id,species-0,species-1,species-2
100,9.518597607893753e-07,0.9999933242797852,5.740629603678826e-06
101,2.51553956331918e-07,1.1612063310906251e-08,0.9999997615814209
102,2.1549418249833252e-08,3.01188310913858e-06,0.9999970197677612
103,0.993847668170929,0.0026411451399326324,0.0035111012402921915
104,0.9940160512924194,0.0025292024947702885,0.0034547573886811733
105,0.9938011765480042,0.00267238006927073,0.003526552813127637
106,0.9940160512924194,0.0025292024947702885,0.0034547573886811733
107,4.9453113604158716e-08,1.7518250738923768e-10,1.0
108,1.2976694385713472e-08,0.9999996423721313,3.9346329572254035e-07
109,1.5927671626059237e-08,1.2416887962274359e-08,1.0
110,3.469326334461925e-13,3.779139030595252e-19,1.0
111,0.9940160512924194,0.0025292024947702885,0.0034547573886811733
112,2.2905744117451832e-05,0.9999353885650635,4.1778817831072956e-05
113,1.2205357557970586e-10,1.2854950525379566e-16,1.0
114,0.9940160512924194,0.0025292024947702885,0.0034547573886811733
115,5.4636270760966e-06,0.0023705442436039448,0.9976239800453186
116,0.0001499400968896225,0.9997151494026184,0.00013492917059920728
117,0.9808148145675659,0.012869153171777725,0.006316077895462513
118,0.9940160512924194,0.0025292024947702885,0.0034547573886811733
119,0.9940160512924194,0.0025292024947702885,0.0034547573886811733
120,1.0934352090430366e-08,0.9999996423721313,3.5358635841475916e-07
121,3.3990254166837985e-08,0.9999992847442627,7.175696623562544e-07
122,5.913380391575629e-06,7.080404316184286e-07,0.9999933242797852
123,1.2758966105863578e-10,7.544987336698308e-19,1.0
124,3.949562898952763e-09,1.9087483330015864e-12,1.0
125,0.9940160512924194,0.0025292024947702885,0.0034547573886811733
126,5.796853552730852e-10,4.4619523021846835e-15,1.0
127,2.3250379399541998e-08,5.657622287325026e-11,1.0
128,5.673391201277411e-10,3.87870616701258e-14,1.0
129,0.9940160512924194,0.0025292024947702885,0.0034547573886811733
130,8.935253958952671e-08,0.9999985694885254,1.311590381192218e-06
131,0.9940160512924194,0.0025292024947702885,0.0034547573886811733
132,4.482625470814128e-08,4.951696155330865e-07,0.9999994039535522
133,1.1661450116662309e-06,0.9999922513961792,6.516067969641881e-06
134,0.00012060872541042045,0.9967967867851257,0.0030825743451714516
135,0.9940160512924194,0.0025292024947702885,0.0034547573886811733
136,3.829991879200634e-12,3.9590366612822425e-20,1.0
137,3.649205098099628e-07,0.9071658253669739,0.09283379465341568
138,0.9940160512924194,0.0025292024947702885,0.0034547573886811733
139,9.313609552918933e-06,6.94892534625069e-08,0.9999905824661255
140,0.9923774003982544,0.0036578006111085415,0.003964749630540609
141,4.4160319845332197e-10,4.7392264198860105e-15,1.0
142,8.766829628784403e-14,2.519101782829643e-19,1.0
143,2.6821378469321644e-06,4.922833696241469e-08,0.9999972581863403
144,0.9940160512924194,0.0025292024947702885,0.0034547573886811733
145,5.3624294338305845e-08,0.9999988079071045,1.1455488220235566e-06
146,0.0003036567650269717,0.9994866847991943,0.00020956082153134048
147,4.88176283397479e-06,0.9999791383743286,1.5922656530165114e-05
148,5.001232784707099e-05,0.9998818635940552,6.801020936109126e-05
149,0.9940160512924194,0.0025292024947702885,0.0034547573886811733
150,0.9896227121353149,0.005700827110558748,0.004676490090787411
