id,sepal_l,sepal_w,petal_l,petal_w,species
1,4.9,3.6,1.4,0.1,0
2,6.3,2.7,4.9,1.8,2
3,5,3.5,1.6,0.6,0
4,6.7,3.3,5.7,2.5,2
5,5.9,3,5.1,1.8,2
6,5,3.6,1.4,0.2,0
7,5.5,2.3,4,1.3,1
8,6.9,3.1,4.9,1.5,1
9,6.4,3.1,5.5,1.8,2
10,7.7,3,6.1,2.3,2
11,6,2.2,5,1.5,2
12,5.7,2.8,4.5,1.3,1
13,5.7,4.4,1.5,0.4,0
14,5,3.2,1.2,0.2,0
15,4.9,3.1,1.5,0.2,0
16,5.6,3,4.1,1.3,1
17,6.1,2.8,4.7,1.2,1
18,5.5,2.4,3.7,1,1
19,6.7,3.1,4.4,1.4,1
20,5.4,3,4.5,1.5,1
21,6,3,4.8,1.8,2
22,4.6,3.6,1,0.2,0
23,6.5,3.2,5.1,2,2
24,5.1,3.4,1.5,0.2,0
25,5.7,3,4.2,1.2,1
26,4.4,3,1.3,0.2,0
27,5.4,3.4,1.5,0.4,0
28,5.1,3.5,1.4,0.3,0
29,5.2,3.5,1.5,0.2,0
30,5.8,2.7,5.1,1.9,2
31,6.1,2.9,4.7,1.4,1
32,7.2,3,5.8,1.6,2
33,6.7,3.3,5.7,2.1,2
34,6.5,3,5.2,2,2
35,5.2,3.4,1.4,0.2,0
36,6.5,2.8,4.6,1.5,1
37,4.5,2.3,1.3,0.3,0
38,6.7,3.1,4.7,1.5,1
39,6.5,3,5.8,2.2,2
40,4.8,3.4,1.6,0.2,0
41,5.5,2.5,4,1.3,1
42,6.3,3.4,5.6,2.4,2
43,5.7,2.5,5,2,2
44,6.3,2.8,5.1,1.5,2
45,7.7,2.8,6.7,2,2
46,6.4,3.2,4.5,1.5,1
47,4.6,3.1,1.5,0.2,0
48,5.4,3.9,1.3,0.4,0
49,5.6,2.7,4.2,1.3,1
50,6,2.2,4,1,1
51,5.5,2.4,3.8,1.1,1
52,5.8,2.7,4.1,1,1
53,5.6,2.8,4.9,2,2
54,6.4,2.7,5.3,1.9,2
55,5.3,3.7,1.5,0.2,0
56,5.9,3.2,4.8,1.8,1
57,6.3,3.3,4.7,1.6,1
58,7.9,3.8,6.4,2,2
59,4.7,3.2,1.6,0.2,0
60,7.4,2.8,6.1,1.9,2
61,6.4,2.8,5.6,2.1,2
62,5.7,2.6,3.5,1,1
63,5,3,1.6,0.2,0
64,5.7,2.8,4.1,1.3,1
65,6.2,2.9,4.3,1.3,1
66,6.9,3.1,5.4,2.1,2
67,5.4,3.7,1.5,0.2,0
68,7.7,3.8,6.7,2.2,2
69,6.3,3.3,6,2.5,2
70,4.8,3.4,1.9,0.2,0
71,4.6,3.2,1.4,0.2,0
72,4.8,3,1.4,0.1,0
73,6.6,2.9,4.6,1.3,1
74,6.7,3.1,5.6,2.4,2
75,5.7,3.8,1.7,0.3,0
76,4.4,2.9,1.4,0.2,0
77,6.3,2.9,5.6,1.8,2
78,6,2.9,4.5,1.5,1
79,5.5,4.2,1.4,0.2,0
80,5.4,3.9,1.7,0.4,0
81,6.9,3.1,5.1,2.3,2
82,5,2.3,3.3,1,1
83,5.5,2.6,4.4,1.2,1
84,4.6,3.4,1.4,0.3,0
85,7,3.2,4.7,1.4,1
86,7.1,3,5.9,2.1,2
87,5.6,2.5,3.9,1.1,1
88,6.3,2.5,5,1.9,2
89,4.8,3.1,1.6,0.2,0
90,4.3,3,1.1,0.1,0
91,6.1,2.6,5.6,1.4,2
92,7.7,2.6,6.9,2.3,2
93,5.5,3.5,1.3,0.2,0
94,6.8,2.8,4.8,1.4,1
95,5.8,2.7,5.1,1.9,2
96,6.1,3,4.6,1.4,1
97,6.6,3,4.4,1.4,1
98,7.3,2.9,6.3,1.8,2
99,6.4,3.2,5.3,2.3,2
